# What these programs really do, established by hand: each one opened,
# driven, and read back at the pixel level. Nothing here is assay's opinion.
# This is what it is measured against.
#
# harness: opencode, run non-interactively
# model:   gpt-oss-120b, no sampling parameters set
#
# <program>       works|broken   what settles it
01_counter        works   Increment adds one, Reset zeroes it and both stay live afterwards
02_converter      works   both boxes convert each other as you type, exact at 0, 100 and -40 and back from 212F
03_stopwatch      works   Start runs, Stop freezes, Start resumes rather than restarting (1.65 to 3.05), Lap records and Reset clears display and laps
04_todo           works   Add appends the typed task and each Delete removes its own row
05_notes          works   Add Note makes an editable note and its delete removes that note
06_cart           works   each Add puts its item in the basket, repeats raise the quantity, and the subtotals and total follow to $2.57
07_kanban         works   Add Card appends to its column and the arrow moves a card to the next one
08_sortviz        works   Shuffle randomises fifty bars and Sort animates through to zero inversions
09_wizard         works   Next walks Account, Personal and Confirm, the review shows what was entered and Back returns
10_accordion      works   each header opens its own panel and closes whichever was open
11_paintgrid      works   cells take colour on click and Clear empties the grid
12_tictactoe      works   clicks alternate X and O with the turn indicator following
13_memory         works   cards flip face up on click and a non-matching pair turns back
14_minesweeper    works   a click reveals its number and flood-fills the empty neighbours
15_draw           works   strokes draw wherever they are made, Clear empties the canvas and it draws again afterwards
16_chart          works   a comma-separated list is drawn as bars and a single value redraws as one
17_signature      works   strokes draw, Undo removes exactly one, Clear empties the pad and it signs again
18_snake          works   it runs from load and the arrow keys steer it
19_tetris         works   pieces fall on their own and left, right and rotate all act
20_breakout       works   the ball moves on its own and both arrows steer the paddle
21_bounce         works   Add Ball and Remove Ball change the count and Pause freezes them all and relabels itself Resume
22_signup         works   a bad email and a password under six characters each raise their own message, and a valid pair shows the success line
23_quiz           works   Submit marks the five checked answers and reports the score
24_password       works   Generate gives a different password every press and the length control sets it exactly, 20 meaning 20
25_search         works   typing narrows the list to matches, nonsense leaves none, and clearing restores all twenty
26_todo2          works   Enter adds, the checkbox drops the count, All/Active/Done filter correctly and Clear completed removes the ticked ones
27_notes2         works   Add Note stores title and body, Search filters live, and the notes survive a reload
28_cart2          works   changing a quantity retotals the line and the cart, and the promo code takes ten percent off (126.95 to 114.26)
29_kanban2        works   the plus button adds a card to its column and the board survives a reload
30_paint2         broken  Undo is one press behind: two strokes give 6 then 12 ink, the first Undo leaves 12 and the second gives back 6; drawing itself is correct
31_tictactoe2     works   the computer answers every move and won, and Play Again clears the board while keeping the score
32_memory2        works   cards flip, the move counter advances and a non-matching pair turns back over
33_minesweeper2   works   a click reveals its number and flood-fills the empties, right click plants a flag and the mine counter follows
