counter|a click counter with an increment button and a reset button
converter|a temperature converter between celsius and fahrenheit that updates as you type
stopwatch|a stopwatch with Start, Stop, Lap and Reset, showing lap times in a list
todo|a todo list: type a task, press Add, and each task has a Delete button
notes|a sticky-notes board where Add Note makes a note you can type into and delete
cart|a shopping cart: a list of items with Add buttons, and a basket showing quantities and a total
kanban|a kanban board with three columns, where you add a card to a column and can move it right
sortviz|a bubble-sort visualiser: bars of random height, a Shuffle button and a Sort button that animates the swaps
wizard|a three-step signup wizard with Next and Back buttons and a progress bar that fills as you advance
accordion|an FAQ page with five collapsible sections, where clicking a heading opens it and closes the others
paintgrid|a 16x16 grid of cells and a colour palette: click a cell to paint it with the chosen colour, and a Clear button empties the grid
tictactoe|tic-tac-toe on a 3x3 grid, two players alternating, announcing the winner
memory|a memory matching game: 16 cards face down, click two, they stay face up if they match
minesweeper|a 9x9 minesweeper: click a square to reveal it, and it shows how many mines are adjacent
draw|a freehand drawing canvas: draw with the mouse, pick a colour and a brush size, and a Clear button
chart|a bar chart drawn on a canvas from numbers you type into a field, redrawing when you add one
signature|a signature pad on a canvas with Clear and Undo buttons
snake|the game snake on a canvas, steered with the arrow keys, with a score that goes up when it eats
tetris|the game tetris on a canvas, arrow keys to move and rotate, with a score and falling pieces
breakout|the game breakout on a canvas: a paddle you steer with the arrow keys, a ball that bounces, and bricks that disappear
bounce|a canvas of bouncing balls with buttons to add a ball, remove one, and pause the animation
signup|a sign-up form validating email and password, showing an error under each field and a success message when both are valid
quiz|a five-question multiple-choice quiz that shows your score at the end
password|a password generator with a length slider, checkboxes for symbols and digits, and Generate and Copy buttons
search|a searchable list of twenty countries that loads after a short delay, then filters as you type
todo2|a todo list with filter tabs for All, Active and Done, a live count of what is left, double-click a task to rename it in place, and a Clear completed button that only removes the done ones
notes2|a notes app where notes persist in localStorage across a reload, each note can be pinned to the top, and a search box filters by title and body as you type
cart2|a shopping cart where quantity can be typed directly, a promo code SAVE10 takes ten percent off, removing the last item shows an empty-basket message, and the total is always correct to two decimal places
kanban2|a kanban board where a card can be dragged between three columns with the mouse, each column shows its own count, and the board survives a reload
paint2|a pixel painter with an eraser, a fill-bucket that floods a contiguous area, an undo that steps back through the last ten strokes, and a download-as-PNG button
tictactoe2|tic-tac-toe against a computer opponent that never loses, with a running score across rounds and a board that locks once somebody wins
memory2|a memory game with a move counter, a timer that starts on the first flip, a pairs-found score, and a win message that only appears when every pair is matched
minesweeper2|a minesweeper with right-click flagging, a mine counter that follows the flags, an automatic flood-reveal of empty regions, and a lose state that reveals every mine
snake2|snake with food that respawns, a score that rises as it eats, a growing tail, walls that end the game, and a high score kept in localStorage
tetris2|tetris with a next-piece preview, line clears that raise the score, a level that speeds the fall, and a pause that actually stops the clock
breakout2|breakout with three lives, bricks worth different points by row, a ball whose angle depends on where it hits the paddle, and a win state when the last brick goes
draw2|a drawing canvas with undo and redo, a colour picker, three brush sizes, and a save that keeps the drawing across a reload
chart2|a chart that switches between bar and line on a toggle, scales its own axis to the data, labels every point, and handles an empty dataset without breaking
signup2|a sign-up form validating email, password strength shown as a live meter, a confirm-password field that must match, and a submit that stays disabled until everything is valid
quiz2|a quiz that asks one question at a time with a progress bar, lets you go back and change an answer, and shows a per-question review at the end
search2|a searchable, sortable table of twenty countries with sortable column headers, a filter box, and a row count that follows the filter
wizard2|a three-step form that keeps what you typed when you go back, validates each step before letting you forward, and shows a summary you can edit before submitting
clock2|a world clock showing four cities that tick every second, with a twelve or twenty-four hour toggle that applies to all of them at once
calc2|a calculator with keyboard support, a running history of the last five results, percentage and sign-flip, and division by zero handled without breaking
