# What these programs really do, established by hand: each one opened,
# driven, and read back at the pixel level. Nothing here is assay's opinion.
# This is what it is measured against.
#
# harness: none. One prompt, one reply, no agent loop and no tools
# model:   gpt-oss-120b, no sampling parameters set
#
# <program>       works|broken   what settles it
01_counter        works   Increment adds one, Reset zeroes it, and the count survives a reload
02_converter      works   both boxes convert each other as you type, exact at 0, 100, -40 and back from 212F
03_stopwatch      works   Start runs, Stop freezes, Start resumes rather than restarting (1.70 to 3.10), Lap records and Reset clears display and laps
04_todo           works   Add appends the typed task and each Delete removes its own row, leaving the others
05_notes          works   Add Note makes an editable note you can type into, and its x deletes that note
06_cart           works   each Add puts its item in the basket, repeats raise the quantity, and the subtotals and total follow (0.99, 1.98, then 4.47 with bread)
07_kanban         works   Add Card appends to its column and the arrow moves a card to the next one
08_sortviz        works   Shuffle randomises sixty bars and Sort animates a bubble sort through to zero inversions
09_wizard         works   Next walks the three steps, the button becomes Submit on the last, and Back returns
10_accordion      works   each header opens its own panel, closes whichever was open, and clicking the open one closes it
11_paintgrid      works   cells take colour on click, Clear empties the grid and painting works again afterwards
12_tictactoe      works   clicks alternate X and O with the turn indicator following, and Reset Game clears the board
13_memory         works   a card flips face up and a second one flips too, with non-matching pairs turning back
14_minesweeper    works   a safe click reveals its number, a mine ends the game, right click plants a flag and Restart deals a new board
15_draw           works   strokes draw wherever they are made, Clear empties the canvas and it draws again afterwards
16_chart          works   a comma-separated list is drawn as bars and a single value redraws as one
17_signature      works   strokes draw, Undo removes the last one, Clear empties the pad and it signs again afterwards
18_snake          works   it runs from load, dies at the wall if nobody steers, the arrows turn it, and Enter restarts it and it moves again
19_tetris         works   pieces fall on their own and left, right and rotate all act
20_breakout       works   the ball moves on its own and both arrows steer the paddle
21_bounce         works   Add Ball puts another on the canvas, Remove takes one off, and Pause freezes them all and relabels itself Resume
22_signup         works   a bad email and a password under eight characters or without a digit each raise their own message, and a valid pair shows the success line
23_quiz           works   Show My Score marks the five checked answers and reports the total
24_password       works   Generate gives a different password every press and the length control sets it exactly, 20 meaning 20
25_search         works   typing narrows the country list to matches, nonsense gives none, and clearing restores all twenty-one
26_todo2          works   Enter adds, the checkbox drops the count, All/Active/Done filter correctly and Clear completed removes the ticked ones
27_notes2         broken  throws Missing initializer in const declaration; the script never runs
28_cart2          works   changing a quantity retotals the line and the cart, and the promo code takes ten percent off (214.70 to 193.23)
29_kanban2        broken  Add does nothing at all, on any column, so there is never a card to drag
30_paint2         works   every stroke paints wherever it is made and Undo removes exactly one stroke at a time
31_tictactoe2     works   the computer answers every move and won, the board stops accepting clicks after the win, and New Game clears it while keeping the score
32_memory2        works   cards flip and the move counter and timer advance as you play
33_minesweeper2   works   clicks reveal numbers and flood-fill the empty neighbours, with the mine counter shown
34_snake2         works   it runs from load, dies at the wall if nobody steers, and Space restarts it with the score and high score updating
35_tetris2        works   pieces fall on their own, left and right move them, and Pause freezes the board
36_breakout2      broken  the paddle tracks the mouse, but the ball never launches. The click handler that its own comment says launches it only runs `if (gameOver)`, so a fresh game sits still whatever you press
